timestamp,total_count,spike_count,spike_rss_bytes,safari_count,mail_count,messages_count,notes_count,idle_count,unknown_count,pids_spike,pids_other
2026-08-05T13:22:24Z,6,0,0,0,0,0,0,6,0,,18040;20603;22341;22343;26871;26872;
2026-08-05T13:23:24Z,7,1,77824000,0,0,0,0,6,0,65974;,18040;20603;22341;22343;26871;26872;
2026-08-05T13:24:24Z,7,1,77807616,0,0,0,0,6,0,65974;,18040;20603;22341;22343;26871;26872;
2026-08-05T13:25:25Z,7,1,77807616,0,0,0,0,6,0,65974;,18040;20603;22341;22343;26871;26872;
2026-08-05T13:26:25Z,7,1,77807616,0,0,0,0,6,0,65974;,18040;20603;22341;22343;26871;26872;
2026-08-05T13:27:25Z,7,1,77807616,0,0,0,0,6,0,65974;,18040;20603;22341;22343;26871;26872;
2026-08-05T13:28:25Z,7,1,77807616,0,0,0,0,6,0,65974;,18040;20603;22341;22343;26871;26872;
2026-08-05T13:29:25Z,7,1,77807616,0,0,0,0,6,0,65974;,18040;20603;22341;22343;26871;26872;
2026-08-05T13:30:26Z,7,1,77807616,0,0,0,0,6,0,65974;,18040;20603;22341;22343;26871;26872;
2026-08-05T13:31:26Z,7,1,77807616,0,0,0,0,6,0,65974;,18040;20603;22341;22343;26871;26872;
2026-08-05T13:32:26Z,7,1,77807616,0,0,0,0,6,0,65974;,18040;20603;22341;22343;26871;26872;
2026-08-05T13:33:26Z,7,1,77807616,0,0,0,0,6,0,65974;,18040;20603;22341;22343;26871;26872;
2026-08-05T13:34:27Z,7,1,77807616,0,0,0,0,6,0,65974;,18040;20603;22341;22343;26871;26872;
2026-08-05T13:35:27Z,7,1,77807616,0,0,0,0,6,0,65974;,18040;20603;22341;22343;26871;26872;
2026-08-05T13:36:27Z,7,1,77807616,0,0,0,0,6,0,65974;,18040;20603;22341;22343;26871;26872;
2026-08-05T13:37:27Z,7,1,77807616,0,0,0,0,6,0,65974;,18040;20603;22341;22343;26871;26872;
2026-08-05T13:38:27Z,7,1,96010240,0,0,0,0,6,0,65974;,18040;20603;22341;22343;26871;26872;
2026-08-05T13:39:28Z,7,1,108494848,0,0,0,0,6,0,65974;,18040;20603;22341;22343;26871;26872;
2026-08-05T13:40:28Z,7,1,108494848,0,0,0,0,6,0,65974;,18040;20603;22341;22343;26871;26872;
2026-08-05T13:41:28Z,7,1,108494848,0,0,0,0,6,0,65974;,18040;20603;22341;22343;26871;26872;
2026-08-05T13:42:28Z,7,1,108494848,0,0,0,0,6,0,65974;,18040;20603;22341;22343;26871;26872;
2026-08-05T13:43:29Z,7,1,108494848,0,0,0,0,6,0,65974;,18040;20603;22341;22343;26871;26872;
2026-08-05T13:44:29Z,7,1,108494848,0,0,0,0,6,0,65974;,18040;20603;22341;22343;26871;26872;
2026-08-05T13:45:29Z,6,0,0,0,0,0,0,6,0,,18040;20603;22341;22343;26871;26872;
2026-08-05T13:46:29Z,6,0,0,0,0,0,0,6,0,,18040;20603;22341;22343;26871;26872;
